,Name_POI,Name_POI.1,Longitude,Latitude,Category,Checkin user number,Category_en
1558,紫阳湖宾馆, Ziyang Lake Hotel,114.30243,30.5339,四星级宾馆,131,Four -star hotel
1393,武汉大余湾尚书府度假酒店, Wuhan Dayu Bay Shangshufu Resort Hotel,114.369457,31.02622,四星级宾馆,154,Four -star hotel
682,君宜王朝大饭店, Junyi Dynasty Hotel,114.3594,30.52523,四星级宾馆,356,Four -star hotel
658,武汉纽宾凯金银湖国际酒店,Wuhan New Beacon Jinyinhu International Hotel,114.205206,30.63665,四星级宾馆,369,Four -star hotel
1362,武钢宾馆, Wuhan Iron and Steel Hotel,114.36743,30.62047,四星级宾馆,158,Four -star hotel
1430,武汉梨园大酒店, Wuhan Liyuan Hotel,114.36483,30.57632,四星级宾馆,148,Four -star hotel
1444,弘毅大酒店, Hongyi Hotel,114.35563,30.55135,四星级宾馆,146,Four -star hotel
1028,金盾大酒店, Golden Shield Hotel,114.26359,30.60041,四星级宾馆,231,Four -star hotel
326,亚洲大酒店,Asia Hotel,114.2613,30.57752,四星级宾馆,767,Four -star hotel
1622,东鑫大酒店, Dongxin Hotel,114.21227,30.5611,四星级宾馆,125,Four -star hotel
1174,香江家居, Hong Kong Home Furnishings,114.22113,30.59922,家具建材市场,192,Furniture Building Material Market
1069,南国·大武汉家装品牌建材大本营, Southland · Wuhan home improvement brand building materials base,114.22208,30.58671,家具建材市场,218,Furniture Building Material Market
1523,汉来广场, Hi Lai Plaza,114.29071,30.57215,家具建材市场,135,Furniture Building Material Market
1057,金钱豹龙会所中餐, Golden Leopard Dragon Club Chinese Food,114.28844,30.56774,广东菜,221,Guangdong cuisine
62,翠华餐厅, Tsui Wah Restaurant,114.343376,30.555339,广东菜,2850,Guangdong cuisine
690,当年情港式茶餐厅 解放大道店, Love Hong Kong-style tea restaurant Jiefang Avenue Branch,114.2597,30.57736,广东菜,354,Guangdong cuisine
829,太兴餐厅, Taixing Restaurant,114.269065,30.569389,广东菜,291,Guangdong cuisine
745,丽豪港式茶餐厅, Lihao Hong Kong Style Tea Restaurant,114.31034,30.60753,广东菜,330,Guangdong cuisine
996,当年情港式茶餐厅 菱角湖万达店," Love Hong Kong-style tea restaurant, Lingjiao Lake Wanda Store",114.2719,30.61588,广东菜,240,Guangdong cuisine
948,琴台食上, food on the piano,114.26442,30.56104,广东菜,253,Guangdong cuisine
478,广东商会酒楼, Guangdong Chamber of Commerce Restaurant,114.27193,30.6033,广东菜,523,Guangdong cuisine
439,国锦轩, Guojinxuan,114.27173,30.57993,广东菜,571,Guangdong cuisine
1386,又一掂香港美食餐厅 武商路店, Another Dian Hong Kong Food Restaurant Wushang Road Branch,114.270507,30.57905,广东菜,155,Guangdong cuisine
333,武汉丹枫白露酒店, Wuhan Danfeng Bailu Hotel,114.301613,30.598238,广东菜,751,Guangdong cuisine
920,新俊得月楼, Xinjundeyuelou,114.266242,30.559792,广东菜,261,Guangdong cuisine
99,武汉大学人民医院, Wuhan University People's Hospital,114.29853,30.53515,医院,2086,Hospital
433,武汉市普仁医院, Wuhan Puren Hospital,114.38132,30.63113,医院,581,Hospital
480,武汉市儿童医院, Wuhan Children's Hospital,114.287662,30.603421,医院,516,Hospital
919,武汉科技大学附属天佑医院, Tianyou Hospital Affiliated to Wuhan University of Science and Technology,114.32603,30.52446,医院,261,Hospital
1261,江夏区第一人民医院, The First People's Hospital of Jiangxia District,114.31557,30.34794,医院,174,Hospital
451,中国人民解放军第一六一医院, The 161st Hospital of the Chinese People's Liberation Army,114.30693,30.61427,医院,556,Hospital
970,协和医院外科楼, Union Hospital Surgery Building,114.27532,30.58315,医院,246,Hospital
934,湖北省新华医院, Hubei Xinhua Hospital,114.27379,30.60748,医院,256,Hospital
1256,长江航运总医院(惠济路), Changjiang Shipping General Hospital ( Huiji Road ),114.28759,30.60642,医院,175,Hospital
1471,武警医院, Armed Police Hospital,114.31306,30.54397,医院,141,Hospital
546,武钢总医院, Wuhan Iron and Steel General Hospital,114.404442,30.631861,医院,451,Hospital
512,武汉市中医医院, Wuhan Traditional Chinese Medicine Hospital,114.29777,30.58851,医院,480,Hospital
1484,空军医院, Air Force Hospital,114.306549,30.619749,医院,140,Hospital
1607,广州军区武汉总医院, Wuhan General Hospital of Guangzhou Military Region,114.344963,30.531332,医院,126,Hospital
508,湖北省中医院, Hubei Provincial Hospital of Traditional Chinese Medicine,114.30942,30.55005,医院,482,Hospital
1666,武汉市第八医院, Wuhan Eighth Hospital,114.305737,30.603523,医院,121,Hospital
74,华中科技大学同济医学院附属协和医院," Union Hospital Affiliated to Tongji Medical College, Huazhong University of Science and Technology",114.275742,30.58349,医院,2575,Hospital
547,湖北省人民医院, Hubei Provincial People's Hospital,114.29853,30.53515,医院,451,Hospital
1085,华中科技大学同济医学院医院, Huazhong University of Science and Technology Tongji Medical College Hospital,114.25993,30.58569,医院,214,Hospital
590,武汉中心医院, Wuhan Central Hospital,114.294807,30.581551,医院,412,Hospital
722,协和医院门诊部, Union Hospital Outpatient Department,114.276022,30.584364,医院,341,Hospital
316,武汉市第二医院, Wuhan Second Hospital,114.29486,30.58168,医院,786,Hospital
707,武警湖北省总队医院, Armed Police Hubei Provincial Corps Hospital,114.316559,30.542244,医院,345,Hospital
1059,武汉市第六医院(江汉大学附属医院), Wuhan Sixth Hospital ( Affiliated Hospital of Jianghan University ),114.2897,30.60015,医院,220,Hospital
681,武汉市第三医院, Wuhan Third Hospital,114.30203,30.54024,医院,356,Hospital
51,华中科技大学同济医学院附属同济医院," Huazhong University of Science Tongji Hospital, Tongji Medical College",114.262128,30.579312,医院,3387,Hospital
672,武汉市妇女儿童医疗保健中心, Wuhan Women's and Children's Health Care Center,114.28822,30.60227,医院,361,Hospital
1149,湖北省肿瘤医院, Hubei Cancer Hospital,114.36589,30.50167,医院,199,Hospital
793,武汉市汉阳医院, Wuhan Hanyang Hospital,114.24461,30.54798,医院,307,Hospital
1049,协和医院西区, Union Hospital West District,114.17349,30.4919,医院,223,Hospital
802,省荣军医院, Provincial Invalids Hospital,114.3767,30.50518,医院,301,Hospital
1038,武汉血液中心, Wuhan Blood Center,114.25317,30.58014,医院,227,Hospital
273,湖北省中医院(光谷院区), Hubei Provincial Hospital of Traditional Chinese Medicine ( Optics Valley Campus ),114.407816,30.507007,医院,913,Hospital
634,武汉市普爱医院, Wuhan Puai Hospital,114.20512,30.59289,医院,382,Hospital
1428,武昌铁路医院, Wuchang Railway Hospital,114.34255,30.60214,医院,148,Hospital
1154,武汉市东西湖区人民医院, Wuhan Dongxihu District People's Hospital,114.13316,30.62587,医院,197,Hospital
1180,武汉市第十一医院, Wuhan No. 1 Hospital,114.273132,30.613779,医院,191,Hospital
596,武汉市精神病医院, Wuhan Psychiatric Hospital,114.27487,30.57474,医院,406,Hospital
1001,黄陂区人民医院, Huangpi District People's Hospital,114.37635,30.87265,医院,238,Hospital
263,湖北省妇幼保健院, Hubei Maternal and Child Health Hospital,114.35179,30.52759,医院,940,Hospital
114,武汉大学中南医院, Wuhan University Zhongnan Hospital,114.353635,30.552967,医院,1917,Hospital
68,广州军区武汉总医院(中南医院、陆军总院)," Wuhan General Hospital of Guangzhou Military Region ( Zhongnan Hospital, Army General Hospital )",114.344322,30.530001,医院,2640,Hospital
424,湖北省中山医院, Zhongshan Hospital of Hubei Province,114.254111,30.568989,医院,594,Hospital
252,武汉大学口腔医院, Wuhan University Stomatological Hospital,114.365067,30.5224,医院,970,Hospital
1189,武汉市第九医院, Wuhan Ninth Hospital,114.38032,30.62415,医院,189,Hospital
67,武汉市第一医院, Wuhan First Hospital,114.27166,30.57235,医院,2645,Hospital
601,武汉亚洲心脏病医院, Wuhan Asian Heart Hospital,114.28231,30.58313,医院,403,Hospital
458,东湖宾馆, East Lake Hotel,114.3611,30.556979,旅馆招待所,550,Hotel guest house
771,武汉帝盛酒店, Dorsett Wuhan,114.289147,30.584961,旅馆招待所,316,Hotel guest house
173,武汉华美达光谷大酒店, Ramada Optics Valley Hotel Wuhan,114.39749,30.50627,旅馆招待所,1401,Hotel guest house
1356,兆瑞国际大酒店,Zhaorui International Hotel,114.28422,30.602894,旅馆招待所,159,Hotel guest house
988,喜瑞得大酒店, Celadon Hotel,114.158763,30.493413,旅馆招待所,241,Hotel guest house
660,洪广大酒店, Hongguang Hotel,114.333883,30.544348,旅馆招待所,366,Hotel guest house
188,武汉光谷金盾大酒店, Wuhan Optics Valley Golden Shield Hotel,114.388629,30.513258,旅馆招待所,1326,Hotel guest house
873,武汉保利白玫瑰大酒店,Wuhan Poly White Rose Hotel,114.335405,30.544242,旅馆招待所,277,Hotel guest house
1377,易斯特国际酒店, East International Hotel,114.377151,30.53344,旅馆招待所,156,Hotel guest house
1295,中天世纪大酒店, Zhongtian Century Hotel,114.393433,30.478621,旅馆招待所,168,Hotel guest house
1446,洪山宾馆, Hongshan Hotel,114.338097,30.54834,旅馆招待所,146,Hotel guest house
1099,卓悦假日酒店, Bonjour Holiday Hotel,114.367973,30.51396,旅馆招待所,212,Hotel guest house
909,长江大酒店, Changjiang Hotel,114.266403,30.580139,旅馆招待所,265,Hotel guest house
1648,黄记煌三汁焖锅(光谷天地店), Huang Jihuang Three Juice Stew ( Optics Valley Store ),114.416,30.4821,火锅店,123,Hotpot restaurant
926,江胖子猪弯弯火锅 知音店, Jiang Fatzi Zhuwanwan Hot Pot Zhiyin Restaurant,114.21088,30.56543,火锅店,259,Hotpot restaurant
1636,重庆光富火锅 南京路店, Chongqing Guangfu Hotpot Nanjing Road Branch,114.29312,30.58288,火锅店,124,Hotpot restaurant
1647,小肥羊 体育馆路店, Little Sheep Gymnasium Road Store,114.3358,30.547,火锅店,123,Hotpot restaurant
995,黄记煌三汁焖锅 俊华大厦店,Huang Jihuang Three Juice Stewed Pot Junhua Building Store,114.287648,30.583911,火锅店,240,Hotpot restaurant
526,胖锅轩(新华店), Fat Pot Xuan ( Xinhuadian ),114.271851,30.601061,火锅店,470,Hotpot restaurant
930,麻辣空间 武汉国际广场店, Spicy Space Wuhan International Plaza,114.271867,30.580472,火锅店,258,Hotpot restaurant
1058,满旗楼涮羊肉, Manqilou Shabu-shabu Lamb,114.29836,30.57894,火锅店,221,Hotpot restaurant
1249,满堂红串串香平价美食城武汉总店, Full House Hong Chuan Chuan Xiang Cheap Food City Wuhan Main Store,114.28836,30.58427,火锅店,177,Hotpot restaurant
910,红鼎豆捞 街道口店, Hongding Doulao Street Branch Store,114.35383,30.5272,火锅店,265,Hotpot restaurant
1041,红鼎豆捞(光谷店), Hong Ding Dou Lao ( Optics Valley Store ),114.429906,30.505889,火锅店,226,Hotpot restaurant
54,海底捞火锅(凯德广场店), Haidilao Hot Pot ( CapitaMall store ),114.269065,30.569383,火锅店,3277,Hotpot restaurant
638,红鼎豆捞 京汉店, Hongding Doulao Jinghan Store,114.28319,30.58233,火锅店,380,Hotpot restaurant
1033,黄记煌三汁焖锅 花园道店, Huang Ji Huang Three Juice Stewed Pot Garden Road,114.26397,30.595684,火锅店,230,Hotpot restaurant
1167,红鼎豆捞 水果湖店, Hongding Doulao Fruit Lake Store,114.34505,30.55052,火锅店,194,Hotpot restaurant
1623,靓家火锅(岳家嘴店), Liangjia Hot Pot ( Yuejiazui Store ),114.363,30.5732,火锅店,125,Hotpot restaurant
1661,傣妹 ATM店, Dai sister ATM shop,114.29087,30.58174,火锅店,122,Hotpot restaurant
1282,重庆朝天门火锅 鲁磨路店, Chongqing Chaotianmen Hotpot Lumo Road Store,114.399687,30.511351,火锅店,170,Hotpot restaurant
1675,凯威啤酒屋 销品茂店, Kaiwei Beer House Pinmao Store,114.343753,30.588892,火锅店,121,Hotpot restaurant
1422,傣妹 司门口店, Daimei Simenkou Store,114.29927,30.54646,火锅店,150,Hotpot restaurant
367,玉林串串香, Yulin Chuanchuanxiang,114.371,30.5126,火锅店,676,Hotpot restaurant
378,唐人曾原味火锅水果湖店, Tangren Zeng Yuanwei Hotpot Fruit Lake Store,114.34613,30.545524,火锅店,669,Hotpot restaurant
473,胖锅轩（民主路店）, Pangguoxuan (Minzhu Road Store),114.33106,30.54441,火锅店,529,Hotpot restaurant
1378,重庆朝天门火锅 卓刀泉店, Chongqing Chaotianmen Hotpot Zhuodaoquan Store,114.36653,30.50946,火锅店,156,Hotpot restaurant
1291,水货火锅城 前进四路店, Parallel Hot Pot City Qianjin 4th Road Store,114.28786,30.57845,火锅店,169,Hotpot restaurant
1507,黄记煌三汁焖锅(司门口ATM店), Huang Jihuang Three Juice Stew ( Simen ATM shop ),114.302,30.5444,火锅店,137,Hotpot restaurant
1350,战锅策创意火锅餐厅 汉口店 Changood Hot-pot Restaurant, Zhan Guoce Creative Hot Pot Restaurant Hankou Branch Changood Hot-pot Restaurant,114.31008,30.60747,火锅店,160,Hotpot restaurant
1527,三国英雄 司门口店, Three Kingdoms Heroes,114.29993,30.54781,火锅店,135,Hotpot restaurant
1358,黄记煌三汁焖锅(佳丽广场店), Huang Jihuang Three Juice Stew ( Belle Plaza Store ),114.291496,30.578266,火锅店,159,Hotpot restaurant
1435,凯威啤酒屋 时尚店, Kavier House Fashion Store,114.29008,30.58211,火锅店,148,Hotpot restaurant
466,胖锅轩(自治街店), Fat Pot Xuan ( Autonomous Street Store ),114.28524,30.58115,火锅店,538,Hotpot restaurant
442,红鼎豆捞 香港路旗舰店, Hongding Doulao Hong Kong Road Flagship Store,114.28866,30.60216,火锅店,566,Hotpot restaurant
668,湖锦酒楼 光谷店, Hujin Restaurant Optics Valley Branch,114.41706,30.508604,湖北菜,364,Hubei
265,颐和尚景酒店, Yihe Shangjing Hotel,114.44258,30.50355,湖北菜,933,Hubei
1238,亢龙太子酒轩 洪山店, Kanglong Prince Wine House Hongshan Branch,114.33352,30.54915,湖北菜,179,Hubei
1080,1919酒店, 1919 hotel,114.300412,30.641081,湖北菜,215,Hubei
1024,食尚坊 TheFashionDiningRoom, Food Shangfang TheFashionDiningRoom,114.292516,30.591294,湖北菜,233,Hubei
978,艳阳天美食广场 彭刘杨路店, Yanyangtian Food Court Pengliuyang Road Branch,114.29931,30.53993,湖北菜,244,Hubei
426,湖锦酒楼 锦江店, Hujin Restaurant Jinjiang Branch,114.30597,30.5621,湖北菜,591,Hubei
1146,刘胖子家常菜 金色古田店, Fatty Liu's Home Cooking Golden Gutian Store,114.213882,30.593498,湖北菜,200,Hubei
1078,莉莉周花园餐厅, Lily Zhou Garden Restaurant,114.30885,30.60176,湖北菜,216,Hubei
1601,小贝壳酒楼, Small Shell Restaurant,114.30307,30.59084,湖北菜,127,Hubei
1152,丽华园 工业二路店, Lihuayuan Industrial Second Road Store,114.39668,30.62653,湖北菜,198,Hubei
1602,赛江南艺术餐厅 沿江大道店,Sai Jiangnan Art Restaurant Yanjiang Avenue Branch,114.30734,30.59627,湖北菜,127,Hubei
1660,简朴寨 杨家湾店, Jianpuzhai Yangjiawan Store,114.38396,30.50319,湖北菜,122,Hubei
1329,俏立方, Pretty Cube,114.343622,30.55293,湖北菜,163,Hubei
1609,小蓝鲸大酒店(杂技厅店), Little Blue Whale Hotel ( Acrobatic Shop ),114.277687,30.599449,湖北菜,126,Hubei
1657,简朴寨 蔡甸店, Jianpuzhai Caidian Store,114.03146,30.57566,湖北菜,122,Hubei
569,老汉口, Laohankou,114.28373,30.5874,湖北菜,434,Hubei
1439,九大碗, nine bowls,114.41574,30.52396,湖北菜,147,Hubei
299,黄记煌, Huang Jihuang,114.333846,30.560625,湖北菜,833,Hubei
1610,武汉小城故事餐厅 台北路店, Wuhan Small Town Story Restaurant Taipei Road Branch,114.28254,30.60008,湖北菜,126,Hubei
1406,美味故事特色餐厅 风光村店, Tasty Story Specialty Restaurant Scenery Village,114.375609,30.530813,湖北菜,152,Hubei
1515,艳阳天旺角酒店(京汉大道店), Sunny Day Mongkok Hotel ( Jinghan Avenue Store ),114.271027,30.575979,湖北菜,136,Hubei
1011,华中农业大学国际交流中心餐厅, Huazhong Agricultural University International Exchange Center Restaurant,114.3501,30.47598,湖北菜,236,Hubei
290,亢龙太子酒轩 雄楚大街店, Kanglong Prince Wine Inn Xiongchu Street Branch,114.34851,30.50995,湖北菜,858,Hubei
314,亢龙太子酒轩(临江总店), Kanglong Prince Wine House ( Linjiang Main Store ),114.308891,30.597931,湖北菜,790,Hubei
854,荔晶时代餐厅 麟趾路店, Lijing Times Restaurant Linzhi Road Branch,114.30212,30.60059,湖北菜,283,Hubei
1020,我家小馆, my house,114.267578,30.569122,湖北菜,234,Hubei
811,圣淘沙酒店, Sentosa Hotels,114.26573,30.58902,湖北菜,298,Hubei
356,湖锦酒楼正银国宴店, Hujin Restaurant Zhengyin State Banquet Branch,114.27101,30.59957,湖北菜,689,Hubei
1632,简朴寨 前进二路店, Jianpuzhai Qianjin 2nd Road Store,114.28427,30.57848,湖北菜,124,Hubei
944,王府井酒店(金桥港湾店), Wangfujing Hotels ( Jinqiao Harbor Store ),114.264,30.5286,湖北菜,254,Hubei
693,湖锦酒楼(菱角湖万达店), Lake Jin Restaurant ( Water chestnut lake Wanda store ),114.271,30.6091,湖北菜,353,Hubei
606,巴山夜雨总督府, Bashan Yeyu Governor's Palace,114.33429,30.5444,湖北菜,401,Hubei
186,三五醇酒店, Three Five Alcohol Hotel,114.27111,30.60026,湖北菜,1337,Hubei
1669,东方大酒店, Oriental Hotel,114.25888,30.61553,湖北菜,121,Hubei
1409,梦天湖山庄, Dream Lake Villa,114.360107,30.371345,湖北菜,152,Hubei
731,湘鄂情 体育馆路店, Xiang-Eqing Stadium Road Store,114.33427,30.54596,湖北菜,337,Hubei
625,新海景酒店, New Seaview Hotel,114.23866,30.57569,湖北菜,387,Hubei
1633,食尚坊, Food Shangfang,114.40544,30.45921,湖北菜,124,Hubei
913,楚灶王大酒店 雄楚大街总店, Chu Zaowang Hotel Xiongchu Street Main Branch,114.33587,30.516,湖北菜,264,Hubei
527,湖锦酒楼 八一路店, Hujin Restaurant Bayi Road Branch,114.34281,30.53836,湖北菜,469,Hubei
1637,小田园鱼丸,Xiaotianyuan fish balls,114.379821,30.426221,湖北菜,124,Hubei
1410,艳阳景轩, Sunny View,114.29167,30.64363,湖北菜,152,Hubei
1546,武汉创意宾馆贵宾楼, Wuhan Creative Hotel VIP Building,114.30805,30.62131,湖北菜,132,Hubei
1343,湖锦新海景酒店 东西湖店, Hujin New Seaview Hotel Dongxihu Branch,114.13843,30.6305,湖北菜,161,Hubei
1104,谢先生餐厅(沙湖店), Mr. Xie Restaurant ( Shahudian ),114.317886,30.55459,湖北菜,211,Hubei
803,金贵源食神酒店, Jinguiyuan Food God Hotel,114.336354,30.556435,湖北菜,301,Hubei
133,亢龙太子酒轩(金融店), Kanglong Prince Wine House ( financial shop ),114.273338,30.59705,湖北菜,1691,Hubei
557,口味堂（武昌店）, Taste Hall (Wuchang Store),114.383078,30.516056,湖南菜,446,Hunan cuisine
1506,芙蓉堂, Furongtang,114.3099,30.60725,湖南菜,137,Hunan cuisine
1232,口味堂 惠济路店, Weiweitang Huiji Road Store,114.29039,30.60921,湖南菜,181,Hunan cuisine
1125,武汉大学科技园, Wuhan University Science and Technology Park,114.4105,30.4573,产业园区,206,Industrial Park
1186,武汉东湖中国光谷, Wuhan East Lake China Optics Valley,114.385472,30.515492,产业园区,190,Industrial Park
1355,美的集团武汉工业园, Midea Group Wuhan Industrial Park,114.11354,30.46083,产业园区,159,Industrial Park
724,东湖国家高新技术开发区管理委员会, Donghu National High-tech Development Zone Management Committee,114.384481,30.514916,产业园区,340,Industrial Park
671,华中科技大学科技园, Huazhong University of Science and Technology Science Park,114.39871,30.45045,产业园区,362,Industrial Park
1423,泰迪厨房, Teddy Kitchen,114.29066,30.57842,意式菜品餐厅,150,Italian dish restaurant
1042,上井日本料理 新华路店, Shangjing Japanese Restaurant Xinhua Road Branch,114.27446,30.58915,日本料理,226,Japanese food
1487,渔寿司, fish sushi,114.272356,30.579996,日本料理,140,Japanese food
1277,禾绿回转寿司 新佳丽店, Helv Conveyor Sushi Xinjiali Store,114.2906,30.58014,日本料理,171,Japanese food
1031,仓桥家日本料理(世贸店), Kurabashi Japanese Restaurant ( World Trade Store ),114.268929,30.58012,日本料理,231,Japanese food
1087,味藏日本料理馆 高雄路店, Mizo Japanese Restaurant Kaohsiung Road Branch,114.28452,30.60297,日本料理,214,Japanese food
648,仓桥家日本料理(群光店), Kurabashi Japanese Restaurant ( Qunguangdian ),114.355553,30.52545,日本料理,374,Japanese food
381,仓桥家日本料理(光谷店), Kurabashi Japanese Restaurant ( Optics Valley Store ),114.401443,30.50552,日本料理,662,Japanese food
591,上井日本料理(武汉国际广场店), Uei Japanese Cuisine ( Wuhan International Plaza Store ),114.273,30.5802,日本料理,412,Japanese food
1379,大渔铁板烧(武汉国际广场店), Dayu Teppanyaki ( Wuhan International Plaza Store ),114.273,30.58,日本料理,156,Japanese food
530,仓桥家日本料理(江汉路店), Kurabashi Japanese Restaurant ( Jianghan Road Store ),114.291054,30.57855,日本料理,467,Japanese food
289,欢乐空间量贩式KTV(光谷店), Happy Space KTV( Optics Valley Store ),114.400642,30.50395,KTV,860,KTV
589,阿曼达KTV, Amanda KTV,114.288257,30.583494,KTV,412,KTV
1557,奇点道量贩式KTV(光谷店), Singularity Road KTV( Optics Valley Store ),114.396883,30.495847,KTV,131,KTV
799,阳光钱柜KTV, Sunshine Cash Box KTV,114.342201,30.539534,KTV,302,KTV
1433,满天星量贩式KTV, Gypsophila KTV,114.39939,30.50897,KTV,148,KTV
278,中央大街·生活摩尔城, Central Avenue · Living Moore City,114.328965,30.353923,KTV,902,KTV
411,米乐星世界KTV, Mile Star World KTV,114.26847,30.59462,KTV,610,KTV
420,公馆(中南店), mansion ( Zhongnan Store ),114.332802,30.535749,KTV,600,KTV
1342,欢乐空间量贩式KTV(八一路), Happy Space KTV( Bayi Road ),114.370586,30.529248,KTV,161,KTV
397,优畅时尚KTV, Youchang Fashion KTV,114.353835,30.526156,KTV,630,KTV
407,武汉米乐星-西园旗舰店, Wuhan Mi Lexing - West Park Flagship Store,114.268177,30.585192,KTV,620,KTV
238,米乐星(武昌店), Mi Lexing ( Wuchang store ),114.300209,30.539419,KTV,1025,KTV
322,欢乐空间量贩式KTV(徐东大街店), Happy Space KTV( Xudong Street Store ),114.343826,30.588949,KTV,777,KTV
321,公馆(国际广场店), mansion ( International Plaza Store ),114.398228,30.507739,KTV,779,KTV
395,公馆(中山店), mansion ( Zhongshan Store ),114.2696,30.581221,KTV,634,KTV
1253,炫丽时光ktv, dazzling time ktv,114.271773,30.598068,KTV,176,KTV
1250,公馆KTV(二七店), mansion KTV( Erqidian ),114.302735,30.614057,KTV,177,KTV
1265,公馆KTV中山店, mansion KTV Zhongshan Store,114.318819,30.623921,KTV,174,KTV
969,满天星量贩式KTV(汉阳店), Gypsophila KTV( Hanyang Store ),114.210693,30.561001,KTV,247,KTV
1128,欢乐空间量贩式KTV(江汉路店), Happy Space KTV( Jianghan Road Store ),114.286697,30.58456,KTV,206,KTV
139,米乐星(汉口店), Mi Lexing ( Hankou Store ),114.284729,30.57439,KTV,1640,KTV
521,卡酷时尚主题KTV, Card Cool Fashion Theme KTV,114.272666,30.597167,KTV,473,KTV
1570,欢乐空间KTV（江汉路店）, happy space KTV (Jianghan Road Store),114.298263,30.582475,KTV,130,KTV
1495,欢乐空间KTV（黄陂广场店）, happy space KTV (Huangpi Square Store),114.379853,30.886897,KTV,138,KTV
498,呼啦啦KTV, hula la KTV,114.297852,30.53735,KTV,490,KTV
989,公馆KTV沌口店, mansion KTV Zhuankoudian,114.169587,30.497987,KTV,241,KTV
494,歌迷量贩ktv武汉会展店, fan sales ktv Wuhan Convention and Exhibition Store,114.274228,30.580177,KTV,495,KTV
567,好乐迪量贩KTV, holody mass seller KTV,114.29302,30.57899,KTV,435,KTV
443,钱柜(武汉店), till ( Wuhan store ),114.29045,30.57867,KTV,566,KTV
394,公馆KTV(友谊店), mansion KTV( Friendship Store ),114.280393,30.573533,KTV,634,KTV
1127,权金城, Kwon Jincheng,114.26643,30.57907,韩国料理,206,Korean cuisine
1054,金韩宫韩国烧烤 群光广场店, Kim Han Palace Korean BBQ Qun Kwang Plaza Branch,114.35528,30.52572,韩国料理,222,Korean cuisine
1346,韩舍韩国烧烤特色餐厅(光谷店), Hanshe Korean BBQ Specialty Restaurant ( Optics Valley Store ),114.402193,30.505315,韩国料理,161,Korean cuisine
534,金韩宫韩国烧烤 沃尔玛店, Kim Han Palace Korean BBQ Walmart Store,114.28958,30.57726,韩国料理,465,Korean cuisine
1573,韩林炭烤 光谷店, Hanlin Charcoal Grilled Optics Valley Store,114.39759,30.50722,韩国料理,130,Korean cuisine
663,金韩宫韩国烧烤(光谷店), Kim Han Palace Korean BBQ ( Optics Valley Store ),114.402805,30.505559,韩国料理,365,Korean cuisine
1040,汉拿山韩式烤肉 菱角湖万达店, Hallasan Korean BBQ Water chestnut Lake Wanda Store,114.27017,30.60936,韩国料理,227,Korean cuisine
1134,武汉市黄陂区汽车客运中心, Wuhan Huangpi District Automobile Passenger Transport Center,114.36939,30.87975,长途汽车站,204,LONG distance BUS STOP
880,武汉汽车客运总站, Wuhan Bus Terminal,114.25278,30.61292,长途汽车站,276,LONG distance BUS STOP
90,湖北省客集团傅家坡汽车客运站, Hubei Provincial Passenger Group Fujiapo Bus Terminal,114.32712,30.53575,长途汽车站,2221,LONG distance BUS STOP
488,傅家坡长途汽车客运站, Fujiapo Coach Terminal,114.327454,30.53528,长途汽车站,504,LONG distance BUS STOP
1442,阳逻汽车客运站, Yangluo Bus Terminal,114.56222,30.66223,长途汽车站,146,LONG distance BUS STOP
309,省客集团新荣村客运站, Provincial Passenger Group Xinrong Village Passenger Station,114.333313,30.65704,长途汽车站,800,LONG distance BUS STOP
198,宏基长途汽车客运站, Acer Coach Terminal,114.31772,30.5334,长途汽车站,1275,LONG distance BUS STOP
705,花园道生活艺术区, Garden Road Living Arts District,114.26467,30.59543,休闲场所,346,Leisure place
470,武汉醉香隆水上农庄, Wuhan Zuixianglong Water Farm,114.4211,30.54244,休闲场所,533,Leisure place
553,桃花岛, Peach Blossom Island,114.22212,30.55175,生活娱乐,448,Life entertainment
253,S. MUSE 苏格缪斯俱乐部武汉店, S. MUSE Sugar Muse Club Wuhan Branch,114.301039,30.581327,生活娱乐,968,Life entertainment
758,荷田会所, Hetian Club,114.40491,30.44954,生活娱乐,322,Life entertainment
847,武昌首义横店电影城, Wuchang Shouyi Hengdian Film City,114.300522,30.536896,生活娱乐,284,Life entertainment
1652,武汉足球俱乐部, Wuhan Football Club,114.36988,30.46055,生活娱乐,122,Life entertainment
108,湖北省图书馆新馆, Hubei Provincial Library New Building,114.331558,30.556442,生活娱乐,1991,Life entertainment
757,Helen\'s Bar（汉口店）, Helen's Bar (Hankou store),114.291721,30.588556,生活娱乐,323,Life entertainment
576,公馆KTV, mansion KTV,114.387313,30.629152,生活娱乐,425,Life entertainment
1231,水立方商务会馆, Water Cube Business Club,114.280952,30.637365,生活娱乐,181,Life entertainment
983,公馆KTV（司门口店）, mansion KTV (Simen Store),114.296507,30.545964,生活娱乐,243,Life entertainment
870,One night A  night club, One night A night club,114.33535,30.559755,生活娱乐,278,Life entertainment
1538,玉笋山人文生态园, Yusun Mountain Humanistic Ecological Park,113.98815,30.53589,生活娱乐,133,Life entertainment
879,凯德广场, CapitaMall,114.271186,30.575767,生活娱乐,276,Life entertainment
669,民族大道欢乐迪Ktv, Happy Die on National Avenue Ktv,114.392294,30.498544,生活娱乐,364,Life entertainment
759,武汉新天地, Wuhan Xintiandi,114.305198,30.603631,生活娱乐,321,Life entertainment
